기준연월,구분,주택,보증유형,건수,금액(백만원),비율(건수기준_퍼센트)
2021-03-01,공동주택,다세대주택,전세보증금반환보증,10033,1869205,19
2021-03-01,단독주택,단독주택,전세보증금반환보증,855,140525,2
2021-03-01,단독주택,다가구주택,전세보증금반환보증,2019,297674,4
2021-03-01,단독주택,다중주택,전세보증금반환보증,15,1550,0
2021-03-01,공동주택,아파트,전세자금대출특약보증,22008,3804481,58
2021-03-01,공동주택,오피스텔,전세자금대출특약보증,4868,645602,13
2021-03-01,공동주택,연립주택,전세자금대출특약보증,651,91813,2
2021-03-01,공동주택,다세대주택,전세자금대출특약보증,7767,1119460,21
2021-03-01,단독주택,단독주택,전세자금대출특약보증,770,95432,2
2021-03-01,단독주택,다가구주택,전세자금대출특약보증,1774,210856,5
2021-03-01,단독주택,다중주택,전세자금대출특약보증,5,331,0
2021-06-01,공동주택,아파트,전세보증금반환보증,13143,3209512,66
2021-06-01,공동주택,오피스텔,전세보증금반환보증,2755,478604,14
2021-06-01,공동주택,연립주택,전세보증금반환보증,225,47362,1
2021-06-01,공동주택,다세대주택,전세보증금반환보증,3222,637332,16
2021-06-01,단독주택,단독주택,전세보증금반환보증,108,16226,1
2021-06-01,단독주택,다가구주택,전세보증금반환보증,311,33967,2
2021-06-01,단독주택,다중주택,전세보증금반환보증,7,657,0
2021-06-01,공동주택,노인복지주택,전세보증금반환보증,6,1240,0
2021-06-01,공동주택,아파트,전세자금대출특약보증,22552,5695280,53
2021-06-01,공동주택,오피스텔,전세자금대출특약보증,5641,992425,13
2021-06-01,공동주택,연립주택,전세자금대출특약보증,834,154463,2
2021-06-01,공동주택,다세대주택,전세자금대출특약보증,9843,1802052,23
2021-06-01,단독주택,단독주택,전세자금대출특약보증,1084,171426,3
2021-06-01,단독주택,다가구주택,전세자금대출특약보증,2453,408722,6
2021-06-01,단독주택,다중주택,전세자금대출특약보증,5,460,0
2021-09-01,공동주택,아파트,전세보증금반환보증,10152,2396502,63
2021-09-01,공동주택,오피스텔,전세보증금반환보증,2505,430919,16
2021-09-01,공동주택,연립주택,전세보증금반환보증,141,31420,1
2021-09-01,공동주택,다세대주택,전세보증금반환보증,2823,554411,18
2021-09-01,단독주택,단독주택,전세보증금반환보증,109,16589,1
2021-09-01,단독주택,다가구주택,전세보증금반환보증,272,36345,2
2021-09-01,단독주택,다중주택,전세보증금반환보증,12,1410,0
2021-09-01,공동주택,노인복지주택,전세보증금반환보증,4,950,0
2021-09-01,공동주택,아파트,전세자금대출특약보증,23578,6117235,55
2021-09-01,공동주택,오피스텔,전세자금대출특약보증,6088,1073191,14
2021-09-01,공동주택,연립주택,전세자금대출특약보증,777,146221,2
2021-09-01,공동주택,다세대주택,전세자금대출특약보증,9113,1706592,21
2021-09-01,단독주택,단독주택,전세자금대출특약보증,949,158354,2
2021-09-01,단독주택,다가구주택,전세자금대출특약보증,2167,361985,5
2021-09-01,단독주택,다중주택,전세자금대출특약보증,4,510,0
2021-12-01,공동주택,아파트,전세보증금반환보증,13772,3430366,66
2021-12-01,공동주택,오피스텔,전세보증금반환보증,3347,582466,16
2021-12-01,공동주택,연립주택,전세보증금반환보증,176,35462,1
2021-12-01,공동주택,다세대주택,전세보증금반환보증,3168,619636,15
2021-12-01,단독주택,단독주택,전세보증금반환보증,88,12660,0
2021-12-01,단독주택,다가구주택,전세보증금반환보증,292,35846,1
2021-12-01,단독주택,다중주택,전세보증금반환보증,8,728,0
2021-12-01,공동주택,노인복지주택,전세보증금반환보증,2,600,0
2021-12-01,공동주택,아파트,전세자금대출특약보증,21271,5545411,57
2021-12-01,공동주택,오피스텔,전세자금대출특약보증,5034,859271,14
2021-12-01,공동주택,연립주택,전세자금대출특약보증,591,107182,2
2021-12-01,공동주택,다세대주택,전세자금대출특약보증,7900,1475814,21
2021-12-01,단독주택,단독주택,전세자금대출특약보증,758,125688,2
2021-12-01,단독주택,다가구주택,전세자금대출특약보증,1527,250202,4
2021-12-01,단독주택,다중주택,전세자금대출특약보증,2,260,0
2022-03-01,공동주택,아파트,전세보증금반환보증,11410,2800233,64
2022-03-01,공동주택,오피스텔,전세보증금반환보증,3632,625123,20
2022-03-01,공동주택,연립주택,전세보증금반환보증,130,25328,1
2022-03-01,공동주택,다세대주택,전세보증금반환보증,2166,424506,12
2022-03-01,단독주택,단독주택,전세보증금반환보증,80,10714,0
2022-03-01,단독주택,다가구주택,전세보증금반환보증,300,38134,2
2022-03-01,단독주택,다중주택,전세보증금반환보증,8,755,0
2022-03-01,공동주택,노인복지주택,전세보증금반환보증,5,1342,0
2022-03-01,공동주택,아파트,전세자금대출특약보증,18830,5169798,57
2022-03-01,공동주택,오피스텔,전세자금대출특약보증,5030,845664,15
2022-03-01,공동주택,연립주택,전세자금대출특약보증,494,93067,2
2022-03-01,공동주택,다세대주택,전세자금대출특약보증,6555,1214357,20
2022-03-01,단독주택,단독주택,전세자금대출특약보증,642,105167,2
2022-03-01,단독주택,다가구주택,전세자금대출특약보증,1345,226593,4
2022-03-01,단독주택,다중주택,전세자금대출특약보증,1,10,0
2022-06-01,공동주택,아파트,전세보증금반환보증,12279,3013410,60
2022-06-01,공동주택,오피스텔,전세보증금반환보증,4581,806708,22
